GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
26551	Eldorado at Santa Fe, NM Urban Cluster	C	18912707	0	7.302	0.	35.537103	-105.929631                                                                                                                
26578	El Dorado Springs, MO Urban Cluster	C	4952679	2869	1.912	0.001	37.869789	-94.023114                                                                                                               
26632	Electra, TX Urban Cluster	C	4317364	0	1.667	0.	34.030615	-98.919054                                                                                                                               
26659	Elgin, TX Urban Cluster	C	12307529	0	4.752	0.	30.349499	-97.379144                                                                                                                                
26686	Elizabeth City, NC Urban Cluster	C	43981700	843	16.981	0.	36.297071	-76.233278                                                                                                                    
26713	Elizabethtown, NC Urban Cluster	C	6373639	0	2.461	0.	34.625482	-78.616196                                                                                                                         
26750	Elizabethtown--Radcliff, KY Urbanized Area	U	147472266	1265633	56.939	0.489	37.788109	-85.922883                                                                                                  
26767	Elk City, OK Urban Cluster	C	16681047	0	6.441	0.	35.40683	-99.413302                                                                                                                              
26794	Elkhart, IN--MI Urbanized Area	U	237903041	7568713	91.855	2.922	41.658247	-85.926438                                                                                                              
26821	Elkhorn, WI Urban Cluster	C	26681042	170180	10.302	0.066	42.692359	-88.538185                                                                                                                     
26848	Elkin, NC Urban Cluster	C	17094338	68515	6.6	0.026	36.248754	-80.852281                                                                                                                           
26875	Elkins, WV Urban Cluster	C	15842958	0	6.117	0.	38.930317	-79.87039                                                                                                                                
26902	Elko, NV Urban Cluster	C	26580266	0	10.263	0.	40.836774	-115.77282                                                                                                                                
26912	Elko New Market, MN Urban Cluster	C	5882788	0	2.271	0.	44.566032	-93.334035                                                                                                                       
26956	Elkton, VA Urban Cluster	C	8167916	35968	3.154	0.014	38.411282	-78.624658                                                                                                                         
26983	Ellensburg, WA Urban Cluster	C	22927525	0	8.852	0.	47.001245	-120.53555                                                                                                                           
27010	Ellenville, NY Urban Cluster	C	8235516	12509	3.18	0.005	41.730481	-74.387697                                                                                                                      
27037	Ellijay, GA Urban Cluster	C	13126405	0	5.068	0.	34.699387	-84.490402                                                                                                                              
27064	Ellsworth, KS Urban Cluster	C	3393603	0	1.31	0.	38.733847	-98.227944                                                                                                                              
27070	Ellsworth, ME Urban Cluster	C	7236461	80594	2.794	0.031	44.538621	-68.427748                                                                                                                      
27076	Ellsworth, WI Urban Cluster	C	5967410	728	2.304	0.	44.733436	-92.482438                                                                                                                           
27085	Ellwood City, PA Urban Cluster	C	16000604	497580	6.178	0.192	40.853149	-80.268213                                                                                                                 
27118	Elmira, NY Urbanized Area	U	97905045	1346513	37.801	0.52	42.192205	-76.831698                                                                                                                     
27172	Elmwood, IL Urban Cluster	C	4609604	0	1.78	0.	40.776335	-89.969943                                                                                                                                
27199	Eloy, AZ Urban Cluster	C	7957277	7374	3.072	0.003	32.750881	-111.562575                                                                                                                           
27226	El Paso, IL Urban Cluster	C	4132223	0	1.595	0.	40.740009	-89.014583                                                                                                                               
27253	El Paso, TX--NM Urbanized Area	U	648980588	2974601	250.573	1.148	31.780239	-106.389031                                                                                                            
27261	El Paso de Robles (Paso Robles)--Atascadero, CA Urbanized Area	U	82140315	144643	31.715	0.056	35.621768	-120.659383                                                                               
27280	El Reno, OK Urban Cluster	C	18498015	2157	7.142	0.001	35.522928	-97.958573                                                                                                                        
27290	Elroy, TX Urban Cluster	C	11290735	0	4.359	0.	30.128197	-97.592702                                                                                                                                
27300	Elverson, PA Urban Cluster	C	7411875	29195	2.862	0.011	40.154279	-75.865131                                                                                                                       
27307	Elwood, IN Urban Cluster	C	13452178	0	5.194	0.	40.274226	-85.839502                                                                                                                               
27334	Ely, MN Urban Cluster	C	6991618	13704	2.699	0.005	47.905099	-91.853013                                                                                                                            
27361	Ely, NV Urban Cluster	C	6579854	0	2.54	0.	39.248028	-114.874529                                                                                                                                   
27372	Emajagua, PR Urban Cluster	C	14250817	3536	5.502	0.001	18.010928	-65.911486                                                                                                                       
27380	Emerald Bay, TX Urban Cluster	C	11383645	333362	4.395	0.129	32.173995	-95.427796                                                                                                                  
27442	Emmetsburg, IA Urban Cluster	C	4855027	0	1.875	0.	43.113788	-94.683236                                                                                                                            
27469	Emmett, ID Urban Cluster	C	14558895	101741	5.621	0.039	43.878179	-116.490113                                                                                                                      
27496	Emmitsburg, MD--PA Urban Cluster	C	13379495	20186	5.166	0.008	39.723106	-77.360676                                                                                                                
27523	Emporia, KS Urban Cluster	C	28729004	498155	11.092	0.192	38.4114	-96.19078                                                                                                                        
27550	Emporia, VA Urban Cluster	C	14984906	19986	5.786	0.008	36.698482	-77.545666                                                                                                                       
27577	Emporium, PA Urban Cluster	C	3532999	218920	1.364	0.085	41.510729	-78.243422                                                                                                                      
27592	Enfield, NC Urban Cluster	C	3435501	0	1.326	0.	36.179194	-77.67075                                                                                                                                
27604	England, AR Urban Cluster	C	3891501	0	1.503	0.	34.545894	-91.964512                                                                                                                               
27631	Enid, OK Urban Cluster	C	62160760	31297	24.	0.012	36.401999	-97.89186                                                                                                                             
27658	Ennis, TX Urban Cluster	C	25288686	196205	9.764	0.076	32.332346	-96.630807                                                                                                                        
27685	Enterprise, AL Urban Cluster	C	92142203	151495	35.576	0.058	31.328965	-85.794087                                                                                                                  
27712	Ephraim, UT Urban Cluster	C	5702821	0	2.202	0.	39.357377	-111.581384                                                                                                                              
27739	Ephrata, WA Urban Cluster	C	7514761	0	2.901	0.	47.312636	-119.550194                                                                                                                              
27750	Epping, NH Urban Cluster	C	11673229	0	4.507	0.	43.039717	-71.06705                                                                                                                                
27766	Erie, PA Urbanized Area	U	212710301	453625	82.128	0.175	42.08554	-80.114855                                                                                                                       
27793	Erwin, TN Urban Cluster	C	16819199	116909	6.494	0.045	36.143997	-82.408735                                                                                                                        
27820	Escalon, CA Urban Cluster	C	5098787	0	1.969	0.	37.792464	-120.995505                                                                                                                              
27847	Escanaba, MI Urban Cluster	C	46643396	283456	18.009	0.109	45.795922	-87.094594                                                                                                                    
27874	Espanola, NM Urban Cluster	C	74151284	629420	28.63	0.243	36.086731	-106.057706                                                                                                                    
27885	Esparto, CA Urban Cluster	C	4229347	0	1.633	0.	38.695279	-122.019465                                                                                                                              
27901	Estacada, OR Urban Cluster	C	7371607	40488	2.846	0.016	45.298665	-122.333397                                                                                                                      
27928	Estes Park, CO Urban Cluster	C	19396197	48605	7.489	0.019	40.363508	-105.518915                                                                                                                   
27955	Estherville, IA Urban Cluster	C	7461182	0	2.881	0.	43.404042	-94.834568                                                                                                                           
27991	Estrella, AZ Urban Cluster	C	18873347	0	7.287	0.	33.328768	-112.442969                                                                                                                            
28009	Etowah, TN Urban Cluster	C	8691643	0	3.356	0.	35.336866	-84.52521                                                                                                                                 
28063	Eudora, KS Urban Cluster	C	6512373	103333	2.514	0.04	38.932378	-95.096848                                                                                                                         
28090	Eufaula, AL--GA Urban Cluster	C	19507985	1469818	7.532	0.567	31.879574	-85.141788                                                                                                                 
28117	Eugene, OR Urbanized Area	U	225265401	118851	86.975	0.046	44.065995	-123.076636                                                                                                                   
28144	Eunice, LA Urban Cluster	C	21872163	78619	8.445	0.03	30.491126	-92.419264                                                                                                                         
28171	Eunice, NM Urban Cluster	C	2942288	0	1.136	0.	32.439505	-103.159026                                                                                                                               
28198	Eureka, CA Urban Cluster	C	48039740	3956380	18.548	1.528	40.777356	-124.169828                                                                                                                    
28225	Eureka, IL Urban Cluster	C	6756989	124341	2.609	0.048	40.713988	-89.274949                                                                                                                        
28252	Eureka, KS Urban Cluster	C	3823720	0	1.476	0.	37.82374	-96.290832                                                                                                                                 
28262	Eureka, MO Urban Cluster	C	25189253	283702	9.726	0.11	38.499469	-90.632649                                                                                                                        
28306	Evanston, WY Urban Cluster	C	18203895	90192	7.029	0.035	41.260088	-110.963739                                                                                                                     
28333	Evansville, IN--KY Urbanized Area	U	307632463	3253892	118.778	1.256	37.978539	-87.537393                                                                                                          
28360	Evansville, WI Urban Cluster	C	7985723	0	3.083	0.	42.777863	-89.296152                                                                                                                            
28387	Evarts, KY Urban Cluster	C	3832826	217594	1.48	0.084	36.872969	-83.179126                                                                                                                         
28414	Everett, PA Urban Cluster	C	4966546	48380	1.918	0.019	40.013306	-78.373013                                                                                                                        
28431	Evergreen, AL Urban Cluster	C	5618288	9861	2.169	0.004	31.429395	-86.95576                                                                                                                        
28441	Evergreen, CO Urban Cluster	C	35230655	233872	13.603	0.09	39.658971	-105.311351                                                                                                                   
28468	Everson, WA Urban Cluster	C	7901141	109861	3.051	0.042	48.90854	-122.346099                                                                                                                       
28495	Excelsior Springs, MO Urban Cluster	C	18041442	127810	6.966	0.049	39.344176	-94.233468                                                                                                            
28522	Fabens, TX Urban Cluster	C	4336907	5386	1.674	0.002	31.505886	-106.153246                                                                                                                         
28549	Fairbanks, AK Urbanized Area	U	142841989	4461962	55.152	1.723	64.801958	-147.705736                                                                                                               
28576	Fairbury, IL Urban Cluster	C	3753233	16338	1.449	0.006	40.746182	-88.51242                                                                                                                        
28603	Fairbury, NE Urban Cluster	C	5257837	0	2.03	0.	40.142463	-97.177618                                                                                                                               
28624	Fairdale, PA Urban Cluster	C	9122621	15557	3.522	0.006	39.883491	-79.961893                                                                                                                       
28657	Fairfield, CA Urbanized Area	U	102311929	334969	39.503	0.129	38.259143	-122.036061                                                                                                                
28684	Fairfield, IL Urban Cluster	C	7434972	57906	2.871	0.022	38.380391	-88.369938                                                                                                                      
28711	Fairfield, IA Urban Cluster	C	17839363	346137	6.888	0.134	41.009422	-91.95404                                                                                                                     
28738	Fairfield, TX Urban Cluster	C	11878828	0	4.586	0.	31.725266	-96.16906                                                                                                                             
28765	Fairfield Glade, TN Urban Cluster	C	16184725	1598190	6.249	0.617	36.001001	-84.878962                                                                                                             
28782	Fairfield Harbour, NC Urban Cluster	C	5869006	362648	2.266	0.14	35.078938	-76.970761                                                                                                              
28819	Fair Haven, VT Urban Cluster	C	8718049	49030	3.366	0.019	43.596279	-73.238454                                                                                                                     
28846	Fairmont, MN Urban Cluster	C	16692640	4792370	6.445	1.85	43.640051	-94.466611                                                                                                                     
28860	Fairmont, NC Urban Cluster	C	5004783	0	1.932	0.	34.496695	-79.116051                                                                                                                              
28873	Fairmont, WV Urban Cluster	C	67658772	2338084	26.123	0.903	39.469497	-80.149881                                                                                                                   
28900	Fairmount, IN Urban Cluster	C	3421263	0	1.321	0.	40.416181	-85.648626                                                                                                                             
28954	Fairview, TN Urban Cluster	C	15974697	47761	6.168	0.018	35.969925	-87.125559                                                                                                                      
28981	Fajardo, PR Urbanized Area	U	131584324	354976	50.805	0.137	18.282618	-65.711953                                                                                                                   
29008	Falfurrias, TX Urban Cluster	C	5349323	0	2.065	0.	27.223874	-98.146944                                                                                                                            
29035	Fallon, NV Urban Cluster	C	36720850	18327	14.178	0.007	39.486754	-118.794249                                                                                                                      
29062	Falls City, NE Urban Cluster	C	4789066	0	1.849	0.	40.061254	-95.600291                                                                                                                            
29089	Fargo, ND--MN Urbanized Area	U	181801751	133673	70.194	0.052	46.86245	-96.82068                                                                                                                   
29116	Faribault, MN Urban Cluster	C	29461618	592056	11.375	0.229	44.29407	-93.281853                                                                                                                    
29143	Farmersville, TX Urban Cluster	C	4979282	1099	1.923	0.	33.166485	-96.362719                                                                                                                       
29170	Farmerville, LA Urban Cluster	C	12937849	0	4.995	0.	32.773269	-92.400835                                                                                                                          
29224	Farmington, ME Urban Cluster	C	5723207	20706	2.21	0.008	44.671915	-70.148576                                                                                                                      
29251	Farmington, MO Urban Cluster	C	58952417	153305	22.762	0.059	37.838181	-90.485144                                                                                                                  
29265	Farmington, NH Urban Cluster	C	3614410	0	1.396	0.	43.390571	-71.065085                                                                                                                            
29278	Farmington, NM Urbanized Area	U	91473035	466227	35.318	0.18	36.745269	-108.160222                                                                                                                 
29305	Farmville, NC Urban Cluster	C	9089460	50344	3.509	0.019	35.584367	-77.589448                                                                                                                      
29332	Farmville, VA Urban Cluster	C	17850998	180777	6.892	0.07	37.286016	-78.39096                                                                                                                      
29359	Fayette, AL Urban Cluster	C	7298048	0	2.818	0.	33.694826	-87.830734                                                                                                                               
29413	Fayette, MO Urban Cluster	C	4058636	13515	1.567	0.005	39.148113	-92.688363                                                                                                                        
29440	Fayetteville, NC Urbanized Area	U	513078427	5422448	198.101	2.094	35.052628	-78.97684                                                                                                             
29467	Fayetteville, TN Urban Cluster	C	25113943	0	9.697	0.	35.115318	-86.574431                                                                                                                         
29494	Fayetteville--Springdale--Rogers, AR--MO Urbanized Area	U	486610656	5970737	187.881	2.305	36.267415	-94.179758                                                                                    
29510	Fearrington Village, NC Urban Cluster	C	6028378	23451	2.328	0.009	35.800108	-79.086445                                                                                                            
29521	Federalsburg, MD Urban Cluster	C	5106851	52160	1.972	0.02	38.69612	-75.771249                                                                                                                     
29548	Fellsmere, FL Urban Cluster	C	4874227	0	1.882	0.	27.76795	-80.594632                                                                                                                              
29575	Fergus Falls, MN Urban Cluster	C	15831662	1318518	6.113	0.509	46.289201	-96.069742                                                                                                                
29602	Fernandina Beach, FL Urban Cluster	C	62388821	85566	24.088	0.033	30.641696	-81.550684                                                                                                             
29656	Fernley, NV Urban Cluster	C	26695195	0	10.307	0.	39.598047	-119.228975                                                                                                                            
29683	Ferriday, LA Urban Cluster	C	11659127	0	4.502	0.	31.6388	-91.556864                                                                                                                               
29698	Filer, ID Urban Cluster	C	2928861	1682	1.131	0.001	42.565842	-114.613149                                                                                                                          
29710	Fillmore, CA Urban Cluster	C	6966244	1775	2.69	0.001	34.4019	-118.91565                                                                                                                           
29737	Findlay, OH Urban Cluster	C	61773195	404737	23.851	0.156	41.052564	-83.640581                                                                                                                     
29764	Firebaugh, CA Urban Cluster	C	3757142	0	1.451	0.	36.860053	-120.459006                                                                                                                            
29775	Firestone--Frederick, CO Urban Cluster	C	26294826	189947	10.152	0.073	40.118686	-104.944081                                                                                                       
29791	Fitzgerald, GA Urban Cluster	C	22744401	537923	8.782	0.208	31.712975	-83.257838                                                                                                                   
29818	Flagstaff, AZ Urbanized Area	U	90134072	59774	34.801	0.023	35.1995	-111.623994                                                                                                                    
29845	Flemingsburg, KY Urban Cluster	C	5187667	11829	2.003	0.005	38.423585	-83.734951                                                                                                                   
29872	Flint, MI Urbanized Area	U	611011529	18822831	235.913	7.268	42.988756	-83.694698                                                                                                                  
29899	Flora, IL Urban Cluster	C	5907560	0	2.281	0.	38.671793	-88.485968                                                                                                                                 
29953	Florence, AL Urbanized Area	U	161204491	1787494	62.241	0.69	34.880869	-87.670032                                                                                                                  
