USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
AL	0101350	Escambia County School District	PK	12	2419057775	19900066	934.003	7.683	31.122287	-87.16841                                                                                                  
AL	0101380	Etowah County School District	PK	12	1263863200	31497856	487.98	12.161	33.969379	-85.952339                                                                                                   
AL	0101410	Eufaula City School District	PK	12	154143207	36156632	59.515	13.96	31.909937	-85.152709                                                                                                      
AL	0101440	Fairfield City School District	KG	12	8987173	0	3.47	0.	33.474705	-86.91934                                                                                                                   
AL	0101470	Fayette County School District	KG	12	1553556238	4282557	599.831	1.654	33.708924	-87.740978                                                                                                   
AL	0101530	Florence City School District	PK	12	68475728	546506	26.439	0.211	34.830323	-87.666139                                                                                                        
AL	0101560	Fort Payne City School District	PK	12	145527315	924064	56.188	0.357	34.457329	-85.689447                                                                                                     
AL	0101590	Franklin County School District	PK	12	1607119672	32368927	620.512	12.498	34.441989	-87.842814                                                                                                
AL	0101620	Gadsden City School District	PK	12	96637184	3053112	37.312	1.179	34.009563	-86.015643                                                                                                        
AL	0101640	Geneva City School District	KG	12	219178869	2443912	84.625	0.944	31.043845	-85.879858                                                                                                        
AL	0101660	Geneva County School District	KG	12	1268718797	9134251	489.855	3.527	31.036149	-86.015959                                                                                                    
AL	0101680	Greene County School District	KG	12	1675782061	33416141	647.023	12.902	32.844497	-87.9642                                                                                                    
AL	0101690	Guntersville City School District	KG	12	65750532	44109667	25.386	17.031	34.367947	-86.252323                                                                                                 
AL	0101710	Hale County School District	PK	12	1667907112	32423361	643.983	12.519	32.752796	-87.623061                                                                                                    
AL	0101720	Haleyville City School District	PK	12	192075594	926137	74.161	0.358	34.211028	-87.577669                                                                                                     
AL	0101730	Hartselle City School District	PK	12	38431090	199199	14.838	0.077	34.438308	-86.941142                                                                                                       
AL	0101740	Henry County School District	PK	12	1454460145	16986823	561.57	6.559	31.516978	-85.239971                                                                                                     
AL	0101760	Homewood City School District	PK	12	21600275	170981	8.34	0.066	33.45855	-86.80965                                                                                                            
AL	0101770	Houston County School District	PK	12	1289954512	3859878	498.054	1.49	31.132817	-85.281543                                                                                                    
AL	0101800	Huntsville City School District	PK	12	553630000	3536794	213.758	1.366	34.701203	-86.672867                                                                                                   
AL	0101830	Jackson County School District	PK	12	2659521895	111770222	1026.847	43.155	34.764114	-85.980056                                                                                               
AL	0101860	Jacksonville City School District	KG	12	28365898	24984	10.952	0.01	33.810066	-85.755217                                                                                                      
AL	0101890	Jasper City School District	PK	12	73927672	230534	28.544	0.089	33.856035	-87.270268                                                                                                          
AL	0101920	Jefferson County School District	PK	12	2067538914	25614370	798.281	9.89	33.575396	-86.940527                                                                                                 
AL	0101950	Lamar County School District	KG	12	1566544637	1600679	604.846	0.618	33.787085	-88.087431                                                                                                     
AL	0101980	Lanett City School District	KG	12	16167443	0	6.242	0.	32.857768	-85.207761                                                                                                                   
AL	0102010	Lauderdale County School District	PK	12	1661670355	133062424	641.575	51.376	34.904122	-87.650997                                                                                             
AL	0102040	Lawrence County School District	KG	12	1788864247	68682382	690.684	26.518	34.529776	-87.321865                                                                                                
AL	0102070	Lee County School District	PK	12	1252938306	16423122	483.762	6.341	32.581051	-85.350306                                                                                                      
AL	0102100	Limestone County School District	KG	12	1216445521	120414882	469.672	46.492	34.770706	-87.032742                                                                                              
AL	0102130	Linden City School District	PK	12	550463214	3062730	212.535	1.183	32.301901	-87.833754                                                                                                       
AL	0102160	Lowndes County School District	KG	12	1854201378	23721835	715.911	9.159	32.147888	-86.650586                                                                                                  
AL	0102190	Macon County School District	PK	12	1576855717	11345392	608.827	4.38	32.387027	-85.692887                                                                                                     
AL	0102220	Madison County School District	PK	12	1561532796	25811769	602.911	9.966	34.606765	-86.660423                                                                                                  
AL	0102250	Marengo County School District	KG	12	1933735866	11066725	746.62	4.273	32.413363	-87.955552                                                                                                   
AL	0102310	Marion County School District	PK	12	1820122487	2867492	702.753	1.107	34.146546	-87.889415                                                                                                    
AL	0102350	Midfield City School District	KG	12	6872869	0	2.654	0.	33.4552	-86.922644                                                                                                                    
AL	0102370	Mobile County School District	PK	12	3074094714	1072427880	1186.915	414.067	30.680152	-88.200525                                                                                              
AL	0102400	Monroe County School District	PK	12	2656469661	22609681	1025.669	8.73	31.580332	-87.383266                                                                                                   
AL	0102430	Montgomery County School District	PK	12	1940064837	36693016	749.063	14.167	32.228849	-86.21548                                                                                               
AL	0102480	Morgan County School District	PK	12	1335025652	33987637	515.456	13.123	34.441072	-86.833188                                                                                                  
AL	0102490	Mountain Brook City School District	KG	12	33216709	49903	12.825	0.019	33.491488	-86.73447                                                                                                    
AL	0102520	Muscle Shoals City School District	PK	12	42811749	53102	16.53	0.021	34.743692	-87.633774                                                                                                     
AL	0102550	Oneonta City School District	KG	12	40795611	149959	15.751	0.058	33.947155	-86.489661                                                                                                         
AL	0102580	Opelika City School District	PK	12	154497339	2388300	59.652	0.922	32.660739	-85.37889                                                                                                        
AL	0102610	Opp City School District	KG	12	61289214	2396858	23.664	0.925	31.284375	-86.257442                                                                                                            
AL	0102635	Oxford City School District	KG	12	107232616	1975923	41.403	0.763	33.590099	-85.852241                                                                                                        
AL	0102640	Ozark City School District	KG	12	170438297	692978	65.807	0.268	31.443377	-85.640982                                                                                                          
AL	0102650	Pell City City School District	PK	12	402431037	34624076	155.379	13.368	33.544233	-86.306782                                                                                                  
AL	0102670	Perry County School District	PK	12	1863900621	10937769	719.656	4.223	32.639005	-87.293827                                                                                                    
AL	0102700	Phenix City City School District	PK	12	72515506	325564	27.998	0.126	32.461669	-85.025021                                                                                                     
AL	0102730	Pickens County School District	PK	12	2282893837	22521210	881.43	8.695	33.296793	-88.096863                                                                                                   
AL	0102760	Piedmont City School District	KG	12	231093208	972378	89.226	0.375	33.918005	-85.513815                                                                                                       
AL	0102790	Pike County School District	KG	12	1667566027	2137043	643.851	0.825	31.949926	-85.803622                                                                                                      
AL	0102820	Randolph County School District	KG	12	1455089857	8296626	561.813	3.203	33.296475	-85.464068                                                                                                  
AL	0102850	Roanoke City School District	KG	12	48526078	988793	18.736	0.382	33.145305	-85.369526                                                                                                         
AL	0102880	Russell County School District	PK	12	1598426686	15358640	617.156	5.93	32.269388	-85.190058                                                                                                   
AL	0102910	Russellville City School District	PK	12	34721734	275054	13.406	0.106	34.505737	-87.728192                                                                                                    
AL	0102940	Scottsboro City School District	KG	12	132452161	14564487	51.14	5.623	34.64462	-86.048155                                                                                                     
AL	0102970	Selma City School District	PK	12	35765691	1537276	13.809	0.594	32.417019	-87.035802                                                                                                          
AL	0103000	Sheffield City School District	PK	12	17053548	222046	6.584	0.086	34.755494	-87.701265                                                                                                        
AL	0103030	Shelby County School District	PK	12	1801458580	55453594	695.547	21.411	33.259456	-86.649424                                                                                                  
AL	0103062	St. Clair County School District	PK	12	1220621525	21587612	471.285	8.335	33.769999	-86.317984                                                                                                
AL	0103090	Sumter County School District	PK	12	2340898915	24634883	903.826	9.512	32.597481	-88.200057                                                                                                   
AL	0103120	Sylacauga City School District	PK	12	52447838	420769	20.25	0.162	33.18867	-86.274799                                                                                                         
AL	0103150	Talladega City School District	KG	12	66056341	209971	25.504	0.081	33.431757	-86.099454                                                                                                       
AL	0103180	Talladega County School District	KG	12	1773788744	60102405	684.864	23.206	33.369314	-86.17593                                                                                                
AL	0103210	Tallapoosa County School District	KG	12	1601330838	84068756	618.277	32.459	32.864621	-85.771555                                                                                              
AL	0103240	Tallassee City School District	KG	12	244916742	13053599	94.563	5.04	32.546979	-85.942735                                                                                                     
AL	0103270	Tarrant City School District	KG	12	16517671	137671	6.378	0.053	33.592897	-86.766253                                                                                                          
AL	0103300	Thomasville City School District	PK	12	273953232	169798	105.774	0.066	31.904285	-87.733579                                                                                                   
AL	0103330	Troy City School District	KG	12	73081491	199932	28.217	0.077	31.80196	-85.96713                                                                                                              
AL	0103360	Tuscaloosa City School District	PK	12	152169171	24584536	58.753	9.492	33.233122	-87.528493                                                                                                   
AL	0103390	Tuscaloosa County School District	PK	12	3268840033	54130814	1262.106	20.9	33.321371	-87.456598                                                                                               
AL	0103420	Tuscumbia City School District	KG	12	23883115	112569	9.221	0.043	34.718502	-87.702586                                                                                                        
AL	0103430	Vestavia Hills City School District	PK	12	51452532	620212	19.866	0.239	33.462496	-86.739508                                                                                                  
AL	0103450	Walker County School District	PK	12	1974758408	36524162	762.459	14.102	33.791558	-87.301094                                                                                                  
AL	0103480	Washington County School District	KG	12	2797720360	21652733	1080.206	8.36	31.405217	-88.197564                                                                                               
AL	0103510	Wilcox County School District	PK	12	2301075082	49057525	888.45	18.941	31.990082	-87.304935                                                                                                   
AL	0103540	Winfield City School District	PK	12	168116864	307995	64.91	0.119	33.919533	-87.809033                                                                                                        
AL	0103580	Winston County School District	PK	12	1402087590	48053502	541.349	18.554	34.147888	-87.333889                                                                                                 
AK	0200001	Lower Kuskokwim School District	PK	12	55204093774	12866457785	21314.421	4967.767	60.21245	-163.436094                                                                                        
AK	0200003	Lower Yukon School District	PK	12	45595801874	5842011945	17604.638	2255.614	62.283588	-163.190171                                                                                            
AK	0200004	Yupiit School District	KG	12	33902512	9284205	13.09	3.585	60.895628	-161.418623                                                                                                              
AK	0200005	Kashunamiut School District	PK	12	2961590	0	1.143	0.	61.52956	-165.594126                                                                                                                    
AK	0200007	Aleutians East Borough School District	PK	12	18091255385	20800268276	6985.073	8031.029	55.245044	-161.997477                                                                                 
AK	0200010	Aleutian Region School District	KG	12	10913827229	23864074115	4213.852	9213.971	51.948964	+179.621188                                                                                        
AK	0200020	Bering Strait School District	PK	12	59463986803	13751755555	22959.175	5309.583	64.783686	-164.188912                                                                                         
AK	0200030	Bristol Bay Borough School District	PK	12	1248324005	949768219	481.981	366.708	58.741647	-156.966909                                                                                         
AK	0200050	Alaska Gateway School District	PK	12	48274587703	334055290	18638.923	128.979	63.647219	-142.827114                                                                                           
AK	0200060	Cordova City School District	PK	12	158886650	35734342	61.346	13.797	60.530138	-145.642065                                                                                                    
AK	0200070	Copper River School District	PK	12	60959722304	1184203017	23536.681	457.223	61.795301	-144.134037                                                                                            
AK	0200090	Craig City School District	PK	12	17339344	7281916	6.695	2.812	55.488746	-133.111568                                                                                                          
AK	0200100	Delta/Greely School District	PK	12	14660597780	350044442	5660.489	135.153	63.825474	-145.698317                                                                                              
AK	0200120	Dillingham City School District	PK	12	86353110	7057408	33.341	2.725	59.060472	-158.532223                                                                                                    
AK	0200130	Galena City School District	PK	12	45721026	17751813	17.653	6.854	64.741422	-156.873394                                                                                                       
AK	0200150	Ketchikan Gateway Borough School District	PK	12	12579243763	4651750442	4856.873	1796.051	55.449938	-131.106685                                                                               
AK	0200180	Anchorage School District	PK	12	4419562836	615500204	1706.403	237.646	61.17425	-149.284329                                                                                                   
AK	0200210	Juneau Borough School District	PK	12	7002973758	1426663852	2703.863	550.838	58.37291	-134.178445                                                                                             
AK	0200240	Sitka School District	PK	12	7433305216	5037858065	2870.015	1945.128	57.193204	-135.367396                                                                                                    
AK	0200270	Haines Borough School District	KG	12	6059513753	1051059522	2339.591	405.816	59.098404	-135.575791                                                                                            
AK	0200300	Hoonah City School District	KG	12	15376852	3057568	5.937	1.181	58.122234	-135.431887                                                                                                         
AK	0200330	Hydaburg City School District	PK	12	741929	20743	0.286	0.008	55.205842	-132.820438                                                                                                           
AK	0200360	Kake City School District	PK	12	19872185	15107530	7.673	5.833	56.97532	-133.903663                                                                                                           
AK	0200390	Kenai Peninsula Borough School District	PK	12	41500185165	22525337842	16023.312	8697.082	59.983671	-151.723024                                                                               
AK	0200450	Klawock City School District	KG	12	1884219	634266	0.728	0.245	55.556413	-133.086292                                                                                                          
AK	0200480	Kodiak Island Borough School District	PK	12	17133720200	14166823224	6615.367	5469.841	57.7044	-153.918372                                                                                    
AK	0200485	Lake and Peninsula Borough School District	PK	12	61893966490	25992281749	23897.395	10035.677	58.108507	-156.413413                                                                           
AK	0200510	Matanuska-Susitna Borough School District	PK	12	64008421559	1456871464	24713.791	562.501	62.279094	-149.619094                                                                               
AK	0200520	Iditarod Area School District	PK	12	104686841081	1418648985	40419.817	547.743	62.704548	-156.155269                                                                                          
AK	0200525	Annette Island School District	PK	12	343944584	333894138	132.798	128.917	55.138352	-131.470425                                                                                               
AK	0200540	Nenana City School District	PK	12	15418484	763703	5.953	0.295	64.536054	-149.083629                                                                                                          
AK	0200570	Nome School District	PK	12	33135552	22514493	12.794	8.693	64.505741	-165.415287                                                                                                              
AK	0200600	Fairbanks North Star Borough School District	PK	12	18983364355	273047179	7329.518	105.424	64.676044	-146.548159                                                                              
AK	0200610	North Slope Borough School District	PK	12	230054122583	15549060273	88824.397	6003.526	69.449343	-153.47283                                                                                   
AK	0200625	Northwest Arctic Borough School District	PK	12	92329079390	12875662550	35648.458	4971.321	67.005066	-160.021086                                                                              
AK	0200630	Pelican City School District	KG	12	1421123	170144	0.549	0.066	57.959229	-136.215066                                                                                                          
AK	0200660	Petersburg Borough School District	PK	12	7512557785	2385954337	2900.615	921.222	57.112458	-133.008598                                                                                        
AK	0200670	Pribilof School District	PK	12	194553118	1042863871	75.117	402.652	57.049508	-170.406225                                                                                                     
AK	0200680	St. Marys City School District	PK	12	115525437	18033322	44.605	6.963	62.062774	-163.244258                                                                                                   
AK	0200690	Skagway School District	PK	12	1123881121	28784118	433.933	11.114	59.560379	-135.338279                                                                                                       
AK	0200700	Southeast Island School District	PK	12	13246733089	14268054112	5114.592	5508.927	55.729248	-133.224194                                                                                       
AK	0200710	Southwest Region School District	PK	12	47391670686	5943623083	18298.027	2294.846	59.543326	-158.267123                                                                                       
AK	0200715	Tanana City School District	KG	12	27635820	11208201	10.67	4.328	65.184004	-152.055102                                                                                                        
AK	0200720	Unalaska City School District	PK	12	267130539	279071921	103.14	107.75	53.910799	-166.527446                                                                                                  
AK	0200730	Chatham School District	PK	12	16964768528	7798131448	6550.134	3010.876	58.253462	-136.320731                                                                                                 
AK	0200760	Kuspuk School District	PK	12	29517875412	591395213	11396.916	228.339	61.523552	-158.036092                                                                                                   
AK	0200770	Denali Borough School District	PK	12	32729577065	66105677	12636.961	25.524	63.682039	-150.027016                                                                                             
AK	0200775	Yukon Flats School District	PK	12	139673342544	2544913843	53928.181	982.597	66.719685	-145.258769                                                                                            
AK	0200780	Valdez City School District	PK	12	550864154	153373675	212.69	59.218	61.083621	-146.317179                                                                                                    
AK	0200800	Chugach School District	PK	12	24248534106	14349810582	9362.412	5540.493	60.488474	-146.203092                                                                                                
AK	0200810	Wrangell School District	PK	12	6619997013	2384375232	2555.995	920.612	56.317416	-132.343978                                                                                                  
AK	0200840	Yakutat School District	PK	12	19744199346	3986129001	7623.278	1539.053	60.017453	-140.416942                                                                                                 
AK	0200862	Yukon-Koyukuk School District	PK	12	155637394029	2193273552	60091.936	846.828	65.634478	-154.325196                                                                                          
AZ	0400001	Cave Creek Unified District	PK	12	538451739	128420	207.897	0.05	33.768229	-111.858841                                                                                                        
AZ	0400003	Chino Valley Unified District	PK	12	1040404685	157636	401.703	0.061	34.866478	-112.459559                                                                                                    
AZ	0400021	Colorado City Unified District	PK	12	2161291682	863717	834.479	0.333	36.687258	-113.115693                                                                                                   
AZ	0400023	Pinon Unified District	PK	12	2436154233	470679	940.604	0.182	36.13233	-110.349847                                                                                                            
AZ	0400026	Heber-Overgaard Unified District	PK	12	1494550171	6967158	577.049	2.69	34.465258	-110.561203                                                                                                 
AZ	0400212	Benson Unified School District	PK	12	1515169685	844008	585.01	0.326	32.154572	-110.232333                                                                                                    
AZ	0400295	Kingman Unified School District	PK	12	7819471211	233354530	3019.115	90.099	35.569785	-114.171523                                                                                             
AZ	0400520	Ajo Unified District	PK	12	344977157	0	133.196	0.	32.418351	-112.821419                                                                                                                      
AZ	0400680	Amphitheater Unified District	PK	12	282464372	535621	109.06	0.207	32.412977	-110.963599                                                                                                      
AZ	0400790	Apache Junction Unified District	PK	12	562134836	77923	217.041	0.03	33.384484	-111.422205                                                                                                    
AZ	0400910	Ash Fork Joint Unified District	PK	12	971740900	49936	375.191	0.019	35.160033	-112.551179                                                                                                    
AZ	0401000	Bagdad Unified School District	PK	12	1226458465	57427	473.538	0.022	34.573384	-113.14388                                                                                                     
AZ	0401180	Bisbee Unified District	PK	12	879140424	3495215	339.438	1.35	31.472333	-109.830116                                                                                                           
AZ	0401330	Bowie Unified District	PK	12	1024771936	507064	395.667	0.196	32.284581	-109.493466                                                                                                           
AZ	0401460	Sierra Vista Unified District	PK	12	279639233	560771	107.969	0.217	31.521111	-110.216504                                                                                                     
AZ	0401600	Camp Verde Unified District	PK	12	1143070624	128223	441.342	0.05	34.486956	-111.785347                                                                                                       
AZ	0401760	Catalina Foothills Unified District	PK	12	65463193	0	25.275	0.	32.315498	-110.884371                                                                                                         
AZ	0401810	Cedar Unified District	PK	12	3204217275	1393117	1237.155	0.538	35.764591	-110.400336                                                                                                         
AZ	0401870	Chandler Unified District	PK	12	205635792	469088	79.396	0.181	33.259646	-111.810465                                                                                                          
AZ	0401940	Chinle Unified District	PK	12	5869051482	11711654	2266.054	4.522	36.156387	-109.528703                                                                                                       
AZ	0402320	Coolidge Unified District	PK	12	678533925	2112311	261.983	0.816	33.038936	-111.597717                                                                                                        
AZ	0402530	Douglas Unified District	PK	12	1248903428	2637543	482.204	1.018	31.427677	-109.271821                                                                                                        
AZ	0402600	Duncan Unified District	PK	12	1213184617	3433265	468.413	1.326	32.750987	-109.196646                                                                                                         
AZ	0402690	Dysart Unified District	PK	12	331265112	633445	127.902	0.245	33.628408	-112.416103                                                                                                           
AZ	0402860	Flagstaff Unified District	PK	12	11429877989	36953299	4413.101	14.268	35.156769	-111.347621                                                                                                  
AZ	0402920	Florence Unified School District	PK	12	2407901659	1542494	929.696	0.596	32.943719	-111.222332                                                                                                
AZ	0403010	Flowing Wells Unified District	PK	12	30989055	496444	11.965	0.192	32.296064	-111.025859                                                                                                      
AZ	0403040	Fountain Hills Unified District	PK	12	63560966	237133	24.541	0.092	33.607452	-111.722236                                                                                                     
AZ	0403080	Fredonia-Moccasin Unified District	PK	12	9668054551	32023970	3732.857	12.365	36.617687	-112.29928                                                                                            
AZ	0403150	Fort Huachuca Accommodation District	PK	12	328405399	150763	126.798	0.058	31.567296	-110.330229                                                                                              
AZ	0403200	Fort Thomas Unified District	PK	12	2638285985	27882702	1018.648	10.766	33.211178	-110.108648                                                                                                 
AZ	0403290	Ganado Unified District	PK	12	2274988239	2963114	878.378	1.144	35.667645	-109.606003                                                                                                         
