USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AL	01051	00161551	Elmore County	1601769095	99957723	618.447	38.594	32.597229	-86.142735                                                                                                                 
AL	01053	00161552	Escambia County	2448115119	20504948	945.223	7.917	31.122287	-87.16841                                                                                                                 
AL	01055	00161553	Etowah County	1386373604	34568854	535.282	13.347	34.047641	-86.034263                                                                                                                 
AL	01057	00161554	Fayette County	1625693290	4330881	627.684	1.672	33.716157	-87.764292                                                                                                                  
AL	01059	00161555	Franklin County	1641841406	32643981	633.919	12.604	34.441989	-87.842814                                                                                                               
AL	01061	00161556	Geneva County	1487897666	11578163	574.481	4.47	31.092382	-85.821022                                                                                                                   
AL	01063	00161557	Greene County	1675782061	33416141	647.023	12.902	32.844497	-87.9642                                                                                                                   
AL	01065	00161558	Hale County	1667907112	32423361	643.983	12.519	32.752796	-87.623061                                                                                                                   
AL	01067	00161559	Henry County	1454926621	16986823	561.75	6.559	31.516978	-85.239971                                                                                                                    
AL	01069	00161560	Houston County	1501854593	4683050	579.869	1.808	31.158183	-85.296411                                                                                                                  
AL	01071	00161561	Jackson County	2791974056	126334709	1077.987	48.778	34.764114	-85.980056                                                                                                              
AL	01073	00161562	Jefferson County	2878465205	32885044	1111.382	12.697	33.553444	-86.896536                                                                                                             
AL	01075	00161563	Lamar County	1566544637	1600679	604.846	0.618	33.787085	-88.087431                                                                                                                    
