USPS,GEOID,ANSICODE,NAME,FUNCSTAT,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
AL,0100190171,00161593,Autaugaville CCD,S,478151753,13897907,184.615,5.366,32.457413,-86.729003
AL,0100190315,00165647,Billingsley CCD,S,386865281,1575402,149.37,0.608,32.606138,-86.748985
AL,0100192106,00165648,Marbury CCD,S,292756940,516152,113.034,0.199,32.638522,-86.514873
AL,0100192628,00165649,Prattville CCD,S,381828149,9717500,147.425,3.752,32.479785,-86.506495
AL,0100390207,00161594,Bay Minette CCD,S,1338301481,27515243,516.721,10.624,30.809659,-87.706187
AL,0100390846,00165650,Daphne CCD,S,297339608,142423998,114.803,54.99,30.667431,-87.906229
AL,0100390963,00165651,Elberta CCD,S,316024412,47416178,122.018,18.307,30.406946,-87.518884
AL,0100391053,00165652,Fairhope CCD,S,170420229,195840128,65.8,75.614,30.466855,-87.912303
AL,0100391152,00161595,Foley CCD,S,451267332,677294345,174.235,261.505,30.3586,-87.831463
AL,0100392754,00161596,Robertsdale CCD,S,442192249,4263788,170.731,1.646,30.556714,-87.643188
AL,0100393024,00161597,Stockton CCD,S,971525691,37553395,375.108,14.499,31.110476,-87.786871
AL,0100393042,00165653,Summerdale CCD,S,130475674,748761,50.377,0.289,30.489699,-87.67673
AL,0100590189,00165654,Bakerhill CCD,S,333700199,9997623,128.842,3.86,31.763418,-85.271865
AL,0100590630,00165655,Clayton CCD,S,517006043,983621,199.617,0.38,31.922275,-85.449831
AL,0100590648,00165656,Clio CCD,S,343319538,397957,132.556,0.154,31.679443,-85.55772
AL,0100591017,00161598,Eufaula CCD,S,745322164,38659527,287.771,14.927,32.000976,-85.243602
AL,0100591989,00165657,Louisville CCD,S,352796711,499970,136.216,0.193,31.790893,-85.567051
AL,0100790531,00161599,Centreville-Brent CCD,S,1001779845,4339466,386.789,1.675,32.931869,-87.14378
AL,0100792601,00165658,Piper-Coleanor CCD,S,194077684,2016669,74.934,0.779,33.065223,-86.996632
AL,0100793438,00165659,West Blocton CCD,S,416309952,3245954,160.738,1.253,33.120326,-87.136978
AL,0100990333,00165660,Blountsville CCD,S,249218475,1495355,96.224,0.577,34.033624,-86.637318
AL,0100990414,00165661,Brooksville CCD,S,245105144,1295757,94.636,0.5,34.166034,-86.497174
AL,0100990612,00165662,Clarence CCD,S,189897980,494812,73.32,0.191,34.076531,-86.390499
AL,0100990639,00165663,Cleveland CCD,S,116476802,607001,44.972,0.234,33.997435,-86.544238
AL,0100991557,00165664,Hayden CCD,S,265735387,1560726,102.601,0.603,33.896247,-86.812872
AL,0100991953,00165665,Locust Fork CCD,S,203716637,981315,78.655,0.379,33.840576,-86.635018
AL,0100992439,00165666,Oneonta CCD,S,399953486,8580457,154.423,3.313,33.904424,-86.460343
AL,0101191098,00165667,Fitzpatrick CCD,S,348247049,2031215,134.459,0.784,32.167144,-85.904292
AL,0101191701,00165668,Inverness CCD,S,438087814,1443991,169.147,0.558,31.97759,-85.750892
AL,0101192133,00165669,Midway CCD,S,428206375,492358,165.331,0.19,32.115727,-85.526734
AL,0101193249,00165670,Union Springs CCD,S,398517922,2087424,153.869,0.806,32.156702,-85.701532
AL,0101390540,00165671,Chapman CCD,S,352261684,177369,136.009,0.068,31.716324,-86.753322
AL,0101391170,00165672,Forest Home CCD,S,441481495,272087,170.457,0.105,31.861798,-86.760811
AL,0101391314,00165673,Georgiana-McKenzie CCD,S,512664324,367569,197.941,0.142,31.592237,-86.70981
AL,0101391422,00165674,Greenville CCD,S,705595027,1884173,272.432,0.727,31.811964,-86.554606
AL,0101590066,00165679,Alexandria-Webster Chapel CCD,S,261413498,1801210,100.932,0.695,33.846742,-85.891331
AL,0101590099,00161600,Anniston CCD,S,530225505,3275683,204.721,1.265,33.671051,-85.876956
AL,0101590585,00165675,Choccolocco CCD,S,239320470,2361684,92.402,0.912,33.738267,-85.681293
AL,0101591746,00165676,Jacksonville CCD,S,184145095,555485,71.099,0.214,33.868108,-85.763933
AL,0101592430,00165677,Ohatchee CCD,S,177674798,7612736,68.601,2.939,33.768762,-86.037283
AL,0101592556,00165678,Piedmont CCD,S,176410256,1020799,68.112,0.394,33.917176,-85.639394
AL,0101791107,00165680,Five Points CCD,S,308236212,9374444,119.011,3.619,33.037753,-85.332886
AL,0101791818,00165681,La Fayette CCD,S,468944198,2043727,181.06,0.789,32.893523,-85.444009
AL,0101791827,00165682,Lanett CCD,S,168343502,2394793,64.998,0.925,32.889494,-85.26375
AL,0101792169,00165684,Milltown CCD,S,207455995,2142455,80.099,0.827,33.04344,-85.51457
AL,0101793272,00165683,Valley CCD,S,184918314,442652,71.397,0.171,32.78641,-85.244134
AL,0101793393,00165685,Waverly CCD,S,207187386,573630,79.996,0.221,32.784893,-85.506282
AL,0101990513,00165686,Cedar Bluff-Gaylesville CCD,S,456976516,39961185,176.44,15.429,34.305264,-85.554226
AL,0101990522,00165687,Centre CCD,S,370015898,17222035,142.864,6.649,34.069515,-85.654242
AL,0101991854,00165688,Leesburg CCD,S,233586205,33391878,90.188,12.893,34.199154,-85.757837
AL,0101992983,00165689,Spring Garden CCD,S,373044702,29733241,144.033,11.48,34.086172,-85.506889
AL,0102190603,00165690,Clanton CCD,S,218872882,3805220,84.507,1.469,32.852272,-86.60143
AL,0102191710,00165691,Isabella-Pletcher CCD,S,260741585,395895,100.673,0.153,32.77273,-86.736381
AL,0102191764,00165692,Jemison CCD,S,335210715,1600950,129.426,0.618,32.975998,-86.783081
AL,0102192097,00165693,Maplesville CCD,S,451101198,1388376,174.171,0.536,32.768987,-86.895464
AL,0102192178,00165694,Mineral Springs CCD,S,272143269,9055300,105.075,3.496,32.97092,-86.606179
AL,0102193285,00165695,Verbena CCD,S,256407426,4346403,98.999,1.678,32.759242,-86.526
AL,0102390441,00161601,Butler CCD,S,752715859,7297622,290.625,2.818,32.065663,-88.212848
AL,0102391332,00165696,Gilbertown-Toxey CCD,S,578524801,1887164,223.37,0.729,31.927593,-88.33263
AL,0102391908,00165697,Lisman CCD,S,577250754,4206989,222.878,1.624,32.274176,-88.215041
AL,0102392925,00165698,Silas CCD,S,457378421,5752694,176.595,2.221,31.759107,-88.301664
AL,0102590675,00165699,Coffeeville CCD,S,370157637,7618310,142.919,2.941,31.839165,-88.057935
AL,0102591260,00165700,Fulton CCD,S,249009554,71854,96.143,0.028,31.792901,-87.642515
AL,0102591440,00161602,Grove Hill CCD,S,832713970,4900838,321.513,1.892,31.617017,-87.697977
AL,0102591726,00165701,Jackson CCD,S,483747171,5750736,186.776,2.22,31.619137,-87.918732
AL,0102593132,00161604,Thomasville CCD,S,682977987,258310,263.699,0.1,31.88561,-87.835098
AL,0102593362,00161603,Walker Springs CCD,S,588887792,18057843,227.371,6.972,31.39711,-87.81892
AL,0102790126,00165702,Ashland CCD,S,562682285,1906571,217.253,0.736,33.218176,-85.786307
AL,0102791899,00165703,Lineville CCD,S,513044396,1904092,198.088,0.735,33.387278,-85.769061
AL,0102792142,00165704,Millerville-Hollins CCD,S,488525154,1474544,188.621,0.569,33.177532,-86.02161
AL,0102991251,00165705,Fruithurst CCD,S,491578073,461737,189.799,0.178,33.820759,-85.472323
AL,0102991593,00161605,Heflin CCD,S,662721893,1548058,255.878,0.598,33.60759,-85.608638
AL,0102992682,00165706,Ranburne CCD,S,296363974,345101,114.427,0.133,33.572983,-85.396107
AL,0103190954,00165707,Elba CCD,S,411066966,1565979,158.714,0.605,31.415484,-86.081449
AL,0103190999,00165708,Enterprise CCD,S,554630290,640184,214.144,0.247,31.35936,-85.8693
AL,0103191341,00165709,Goodman CCD,S,213566268,808106,82.458,0.312,31.255471,-86.028794
AL,0103191719,00165710,Jack CCD,S,242947838,108904,93.803,0.042,31.562947,-86.056315
AL,0103191800,00165711,Kinston CCD,S,128037014,606115,49.435,0.234,31.272191,-86.150624
AL,0103193303,00165712,Victoria CCD,S,208317549,177901,80.432,0.069,31.537584,-85.898401
AL,0103390567,00161606,Cherokee CCD,S,629707104,39544455,243.131,15.268,34.722246,-88.012808
AL,0103391863,00165713,Leighton CCD,S,334201531,21872364,129.036,8.445,34.699953,-87.522976
AL,0103391926,00165714,Littleville CCD,S,392205816,8070014,151.432,3.116,34.651461,-87.788504
AL,0103393186,00165715,Tri-Cities CCD,S,179087870,10213444,69.146,3.943,34.726581,-87.64274
AL,0103590504,00165716,Castleberry CCD,S,480645395,3005403,185.578,1.16,31.341111,-87.038746
AL,0103591044,00165717,Evergreen CCD,S,541455828,1988536,209.057,0.768,31.373364,-86.855205
AL,0103592016,00161607,Lyeffion CCD,S,564125375,607402,217.81,0.235,31.591407,-87.003548
AL,0103592718,00165718,Repton CCD,S,391518627,783169,151.166,0.302,31.356576,-87.242943
AL,0103592916,00165719,Shreve CCD,S,224262629,247536,86.588,0.096,31.431041,-86.74107
AL,0103791350,00165720,Goodwater-Kellyton CCD,S,251399770,1592479,97.066,0.615,32.992929,-86.073879
AL,0103792763,00165721,Rockford CCD,S,649873003,14725427,250.917,5.686,32.824261,-86.206199
AL,0103793429,00161608,Weogufka-Marble Valley CCD,S,784578042,23669365,302.927,9.139,33.003348,-86.334702
AL,0103990090,00161609,Andalusia CCD,S,933651082,8170521,360.485,3.155,31.33076,-86.527061
AL,0103991062,00165722,Falco CCD,S,530483088,6736300,204.821,2.601,31.119584,-86.587383
AL,0103991134,00165723,Florala CCD,S,403172625,3838825,155.666,1.482,31.054744,-86.353383
AL,0103992448,00165724,Opp CCD,S,441983032,4699834,170.651,1.815,31.257962,-86.263729
AL,0103992781,00165725,Rose Hill-Gantt CCD,S,359839193,10785910,138.935,4.164,31.442065,-86.399891
AL,0104190360,00161610,Brantley CCD,S,479766676,2107941,185.239,0.814,31.559343,-86.322308
AL,0104192007,00165726,Luverne CCD,S,631875893,1652046,243.969,0.638,31.725666,-86.315392
AL,0104192529,00165727,Petrey-Highland Home CCD,S,465310230,1628574,179.657,0.629,31.915035,-86.301808
AL,0104390180,00165728,Baileyton-Joppa CCD,S,147092909,1250829,56.793,0.483,34.261634,-86.568311
AL,0104390369,00165729,Bremen CCD,S,382549818,16889345,147.703,6.521,33.973744,-86.967988
AL,0104390774,00165730,Crane Hill CCD,S,113647774,20918221,43.88,8.077,34.056948,-87.055155
AL,0104390810,00165731,Cullman CCD,S,205468495,4145753,79.332,1.601,34.157566,-86.844813
AL,0104391521,00165732,Hanceville CCD,S,189017121,1290528,72.98,0.498,34.027674,-86.794844
AL,0104391647,00165733,Holly Pond CCD,S,140130134,1239492,54.105,0.479,34.156036,-86.636989
AL,0104391773,00165734,Jones Chapel CCD,S,215915498,1927096,83.365,0.744,34.216179,-87.070728
AL,0104391962,00165735,Logan CCD,S,132823979,838976,51.284,0.324,34.158921,-86.957173
AL,0104392934,00165736,Simcoe CCD,S,154228958,1290252,59.548,0.498,34.236831,-86.730183
AL,0104393330,00165737,Vinemont CCD,S,166491361,1638367,64.283,0.633,34.278599,-86.8829
AL,0104393420,00165738,Welti CCD,S,55706972,993637,21.509,0.384,34.136377,-86.730364
AL,0104590828,00165739,Daleville CCD,S,157580786,0,60.842,0.,31.267466,-85.739358
AL,0104590936,00165740,Echo CCD,S,247187650,310918,95.44,0.12,31.490004,-85.462515
AL,0104591215,00165741,Fort Rucker CCD,S,172469657,2801707,66.591,1.082,31.391473,-85.721454
AL,0104592376,00165742,Newton-Midland City CCD,S,259760238,104606,100.294,0.04,31.316176,-85.525755
AL,0104592466,00165743,Ozark CCD,S,616246222,865709,237.934,0.334,31.511957,-85.632805
AL,0104790486,00165744,Carlowville CCD,S,506505792,5124513,195.563,1.979,32.128245,-87.049856
AL,0104792457,00165746,Orrville CCD,S,541139542,6763759,208.935,2.612,32.325669,-87.21918
AL,0104792808,00165747,Safford CCD,S,394880972,5203479,152.464,2.009,32.312073,-87.362481
AL,0104792844,00165748,Sardis CCD,S,205066675,3449576,79.177,1.332,32.271645,-87.022536
AL,0104792880,00161611,Selma CCD,S,679915601,12235023,262.517,4.724,32.492902,-87.002497
AL,0104792883,00165745,Selmont-Tyler CCD,S,207411017,6348428,80.082,2.451,32.3291,-86.911108
AL,0104990693,00165749,Collinsville CCD,S,206883685,1019937,79.878,0.394,34.232785,-85.901766
AL,0104990792,00165750,Crossville CCD,S,151362798,244096,58.442,0.094,34.257182,-86.025488
AL,0104991206,00165751,Fort Payne CCD,S,417790244,1454809,161.31,0.562,34.409655,-85.737908
AL,0104991269,00165752,Fyffe CCD,S,214250230,23139,82.722,0.009,34.434084,-85.968723
AL,0104991323,00165753,Geraldine CCD,S,214372498,101379,82.77,0.039,34.351836,-86.001665
AL,0104991611,00165754,Henagar CCD,S,114220592,98929,44.101,0.038,34.623217,-85.720686
AL,0104991692,00165755,Ider CCD,S,202886501,0,78.335,0.,34.729342,-85.636709
AL,0104992655,00165756,Rainsville-Sylvania CCD,S,245748884,516223,94.884,0.199,34.514567,-85.819432
AL,0104993276,00165757,Valley Head-Mentone CCD,S,245161047,663031,94.657,0.256,34.606839,-85.586542
AL,0105190855,00165758,Deatsville CCD,S,164594800,12316882,63.55,4.756,32.640711,-86.346148
AL,0105190945,00165759,Eclectic CCD,S,285118925,47191020,110.085,18.221,32.670785,-85.995938
AL,0105190972,00165760,Elmore CCD,S,171173226,11079576,66.09,4.278,32.505421,-86.353258
AL,0105193087,00165761,Tallassee CCD,S,316857995,6843338,122.34,2.642,32.512019,-85.985882
AL,0105193141,00165762,Titus CCD,S,280823004,9485393,108.426,3.662,32.694855,-86.222318
AL,0105193456,00165763,Wetumpka CCD,S,383201145,13041514,147.955,5.035,32.532051,-86.158568
AL,0105390153,00165764,Atmore CCD,S,294207903,2450113,113.594,0.946,31.053058,-87.460089
AL,0105390378,00165765,Brewton CCD,S,423512584,4768307,163.519,1.841,31.15086,-87.129665
AL,0105390927,00161612,East Escambia CCD,S,944302704,9382428,364.597,3.623,31.099257,-86.91059
AL,0105391125,00165766,Flomaton CCD,S,331593912,1901256,128.029,0.734,31.108627,-87.279473
AL,0105392034,00165767,McCullough-Huxford CCD,S,454498016,2002844,175.483,0.773,31.186053,-87.469446
AL,0105590081,00165768,Altoona CCD,S,205444748,671935,79.323,0.259,34.054488,-86.258455
AL,0105591278,00165769,Gadsden CCD,S,482208224,25763880,186.182,9.947,33.977508,-86.05922
AL,0105591638,00165770,Hokes Bluff CCD,S,205128609,4577028,79.201,1.767,34.018845,-85.825929
AL,0105591980,00165771,Lookout Mountain CCD,S,130921740,67724,50.549,0.026,34.134046,-85.919935
AL,0105592268,00165772,Mountainboro CCD,S,179636442,512252,69.358,0.198,34.145131,-86.12144
AL,0105593213,00165773,Turkeytown CCD,S,87404337,2927199,33.747,1.13,34.07266,-85.899194
AL,0105593465,00165774,Wills Valley CCD,S,95629504,48836,36.923,0.019,34.147015,-86.014951
AL,0105790279,00165775,Berry CCD,S,427697334,551762,165.135,0.213,33.647654,-87.614354
AL,0105791089,00165776,Fayette CCD,S,518098507,3348782,200.039,1.293,33.638038,-87.843653
AL,0105792380,00165777,Northeast Fayette CCD,S,311398981,71975,120.232,0.028,33.817134,-87.643826
AL,0105793495,00165778,Winfield-Glen Allen CCD,S,368498468,358362,142.278,0.138,33.852068,-87.832808
AL,0105992547,00165779,Phil Campbell CCD,S,350969795,2775290,135.51,1.072,34.356077,-87.697229
AL,0105992691,00165780,Red Bay CCD,S,337312069,6755226,130.237,2.608,34.490427,-88.056527
AL,0105992799,00165781,Russellville CCD,S,681408504,18590208,263.093,7.178,34.489552,-87.750896
AL,0105993312,00165782,Vina CCD,S,272151038,4523257,105.078,1.746,34.382318,-88.006591
AL,0106190252,00165783,Bellwood-Coffee Springs CCD,S,218625842,1080994,84.412,0.417,31.144468,-85.888933
AL,0106191305,00165784,Geneva CCD,S,145544015,1579657,56.195,0.61,31.050215,-85.909058
AL,0106191530,00165785,Hartford CCD,S,340436367,2888767,131.443,1.115,31.06965,-85.736863
AL,0106192835,00165786,Samson CCD,S,431926906,5102361,166.768,1.97,31.084782,-86.086175
AL,0106192952,00165787,Slocomb CCD,S,351364536,926384,135.663,0.358,31.106661,-85.573638
AL,0106390342,00165788,Boligee CCD,S,184645979,3124800,71.292,1.206,32.762093,-88.025256
AL,0106391026,00161613,Eutaw CCD,S,502436743,10136399,193.992,3.914,32.8913,-87.871108
AL,0106391179,00165789,Forkland-Tishabee CCD,S,386179042,14677895,149.105,5.667,32.657707,-87.904151
AL,0106392088,00161614,Mantua-West Greene CCD,S,602520297,5477047,232.634,2.115,32.958558,-88.051005
AL,0106591413,00165790,Greensboro CCD,S,49222197,736848,19.005,0.284,32.690768,-87.595561
AL,0106591414,00165792,Greensboro Northeast CCD,S,287711704,1997945,111.086,0.771,32.778171,-87.529818
AL,0106591415,00165794,Greensboro South CCD,S,178985988,6023121,69.107,2.326,32.637726,-87.664429
AL,0106592259,00165791,Moundville CCD,S,344305049,2850957,132.937,1.101,32.933114,-87.55181
AL,0106592345,00165793,Newbern CCD,S,293050366,5248887,113.147,2.027,32.543453,-87.636996
AL,0106592853,00165795,Sawyerville CCD,S,266013942,8490135,102.709,3.278,32.735606,-87.741416
AL,0106593015,00165796,Stewart-Akron CCD,S,248617866,7075468,95.992,2.732,32.861259,-87.698034
AL,0106790009,00165797,Abbeville CCD,S,447548524,604327,172.799,0.233,31.596562,-85.304308
AL,0106791485,00165798,Haleburg CCD,S,312292242,454561,120.577,0.176,31.404134,-85.145858
AL,0106791584,00165799,Headland-Newville CCD,S,357081475,125775,137.87,0.049,31.404385,-85.324415
AL,0106792907,00165800,Shorterville CCD,S,338004380,15802160,130.504,6.101,31.612717,-85.136741
AL,0106990702,00165801,Columbia CCD,S,112833272,338426,43.565,0.131,31.24377,-85.154836
AL,0106990747,00165802,Cottonwood CCD,S,204173023,931853,78.832,0.36,31.070494,-85.300048
AL,0106990900,00161615,Dothan CCD,S,687155913,1944093,265.312,0.751,31.218564,-85.376617
AL,0106991368,00165803,Gordon CCD,S,306360670,560175,118.287,0.216,31.060704,-85.120765
AL,0106992070,00165804,Madrid CCD,S,191331715,908503,73.874,0.351,31.074434,-85.426093
AL,0107190387,00165805,Bridgeport CCD,S,92954117,2839238,35.89,1.096,34.965286,-85.777448
AL,0107191971,00165806,Long Island CCD,S,348606444,13619157,134.598,5.258,34.851342,-85.700014
AL,0107192475,00165807,Paint Rock CCD,S,258614437,941502,99.852,0.364,34.678558,-86.257062
AL,0107192610,00165808,Pisgah CCD,S,197633011,7442416,76.307,2.874,34.701199,-85.814574
AL,0107192637,00165809,Princeton CCD,S,552107693,1678319,213.17,0.648,34.878783,-86.227937
AL,0107192862,00165810,Scottsboro CCD,S,502714954,50012965,194.099,19.31,34.693108,-86.039637
AL,0107192871,00165811,Section CCD,S,283806769,31310700,109.578,12.089,34.569822,-85.971641
AL,0107193006,00165812,Stevenson CCD,S,555536631,18490412,214.494,7.139,34.886396,-85.929676
AL,0107390324,00161616,Birmingham CCD,S,822408677,3898510,317.534,1.505,33.514768,-86.826421
AL,0107390405,00165813,Brookside CCD,S,105747741,480790,40.829,0.186,33.681915,-86.920396
AL,0107390621,00165814,Clay CCD,S,96810822,1234369,37.379,0.477,33.710763,-86.576671
AL,0107390722,00165815,Concord-Rock Creek CCD,S,84281527,559073,32.541,0.216,33.454184,-87.062384
AL,0107391296,00165816,Gardendale CCD,S,199645775,213711,77.084,0.083,33.693313,-86.806683
AL,0107391404,00165817,Graysville-Adamsville CCD,S,117210979,1250942,45.255,0.483,33.619571,-86.979629
AL,0107391431,00165818,Greenwood CCD,S,128412252,1490043,49.58,0.575,33.300341,-86.976389
AL,0107391656,00165819,Hoover CCD,S,115638607,827759,44.648,0.32,33.393994,-86.86128
AL,0107391791,00165820,Kimberly-Morris CCD,S,114014129,89286,44.021,0.034,33.77453,-86.74654
AL,0107391845,00165821,Leeds CCD,S,108307119,2628667,41.818,1.015,33.512746,-86.608599
AL,0107392124,00165822,Maytown-Sylvan Springs CCD,S,168942340,1269965,65.229,0.49,33.545363,-87.080436
AL,0107392385,00165823,North Johns CCD,S,355963839,8466373,137.438,3.269,33.38981,-87.181012
AL,0107392484,00165824,Palmerdale CCD,S,53207777,1056974,20.544,0.408,33.740998,-86.650125
AL,0107392745,00165825,Robbins Crossroads CCD,S,91988014,967146,35.517,0.373,33.727028,-86.997049
AL,0107393204,00165826,Trussville CCD,S,87480064,1735906,33.776,0.67,33.61123,-86.571671
AL,0107393366,00165827,Warrior CCD,S,113227671,240090,43.717,0.093,33.825379,-86.882126
AL,0107393447,00165828,West Jefferson CCD,S,115177872,6475440,44.47,2.5,33.57966,-87.146026
AL,0107592151,00165829,Millport CCD,S,510075659,306902,196.941,0.118,33.605968,-88.100635
AL,0107593033,00165830,Sulligent CCD,S,563409087,442883,217.533,0.171,33.95627,-88.088597
AL,0107593294,00165831,Vernon CCD,S,493059891,850894,190.371,0.329,33.766138,-88.097927
AL,0107790657,00165832,Cloverdale CCD,S,216680346,730772,83.661,0.282,34.948095,-87.784804
AL,0107791143,00165833,Florence CCD,S,249264212,14759429,96.241,5.699,34.889364,-87.650457
AL,0107791782,00165834,Killen CCD,S,267010001,19033098,103.093,7.349,34.911912,-87.505196
AL,0107791872,00165835,Lexington CCD,S,138659126,6253833,53.537,2.415,34.92304,-87.395845
AL,0107792412,00165836,Oakland CCD,S,253116906,23416409,97.729,9.041,34.82524,-87.812121
AL,0107792772,00165837,Rogersville CCD,S,295233111,23538120,113.99,9.088,34.883633,-87.290814
AL,0107793384,00165838,Waterloo CCD,S,310182381,45877269,119.762,17.713,34.938938,-88.013928
AL,0107991548,00165839,Hatton CCD,S,226968591,1721123,87.633,0.665,34.566625,-87.418451
AL,0107991629,00165840,Hillsboro CCD,S,162718485,27718484,62.826,10.702,34.667755,-87.182797
AL,0107992241,00165841,Morris Chapel CCD,S,196035029,1476178,75.69,0.57,34.548308,-87.185724
AL,0107992250,00165842,Moulton CCD,S,334270370,1012493,129.063,0.391,34.430174,-87.294617
AL,0107992286,00165843,Mount Hope CCD,S,361346825,1982766,139.517,0.766,34.403952,-87.456246
AL,0107992979,00165844,Speake-Oakville CCD,S,201334194,639127,77.736,0.247,34.382723,-87.152105
AL,0107993159,00165845,Town Creek-Courtland CCD,S,306190753,34132211,118.221,13.179,34.694107,-87.34014
AL,0108190162,00165846,Auburn-Opelika CCD,S,362769993,3958126,140.066,1.528,32.625435,-85.412513
AL,0108190243,00165847,Beauregard-Marvyn CCD,S,338167170,3013616,130.567,1.164,32.508918,-85.349466
AL,0108190288,00165848,Beulah CCD,S,182260402,4471821,70.371,1.727,32.678726,-85.236641
AL,0108191944,00165849,Loachapoka-Roxana CCD,S,347877943,2084816,134.316,0.805,32.654552,-85.581526
AL,0108192962,00165850,Smiths Station CCD,S,342473444,7963912,132.23,3.075,32.578129,-85.145553
AL,0108390144,00161617,Athens CCD,S,979651960,79449245,378.246,30.676,34.821342,-86.974753
AL,0108392232,00165851,Mooresville CCD,S,230441429,33500066,88.974,12.934,34.647449,-86.853447
AL,0108392817,00165852,Salem CCD,S,240184496,9380418,92.736,3.622,34.921968,-87.140133
AL,0108590270,00165853,Benton-Collirene CCD,S,293103310,2258861,113.168,0.872,32.220891,-86.779451
AL,0108591197,00165855,Fort Deposit CCD,S,474336154,2111088,183.142,0.815,32.018098,-86.60091
AL,0108591566,00165856,Hayneville CCD,S,401501706,5702657,155.021,2.202,32.187896,-86.490711
AL,0108591998,00165857,Lowndesboro CCD,S,276412598,12423628,106.724,4.797,32.307599,-86.645968
AL,0108592245,00165854,Mosses CCD,S,408847610,1225601,157.857,0.473,32.092298,-86.77769
AL,0108791188,00165858,Fort Davis CCD,S,200625786,845411,77.462,0.326,32.321317,-85.753803
AL,0108791917,00165859,Little Texas-Society Hill CCD,S,243054437,1154543,93.844,0.446,32.435301,-85.518476
AL,0108792403,00165860,Notasulga CCD,S,252157040,1999255,97.358,0.772,32.520903,-85.683732
AL,0108792898,00165861,Shorter-Hardaway CCD,S,272452655,2685841,105.195,1.037,32.35755,-85.894799
AL,0108793230,00165862,Tuskegee CCD,S,278073701,2916909,107.365,1.126,32.401358,-85.77895
AL,0108793376,00165863,Warriorstand-Creek Stand CCD,S,330492098,1743433,127.604,0.673,32.292097,-85.567652
AL,0108991467,00165865,Gurley CCD,S,169223345,1171909,65.338,0.452,34.677284,-86.432593
AL,0108991575,00165866,Hazel Green CCD,S,159024182,452111,61.4,0.175,34.938193,-86.552277
AL,0108991674,00161618,Huntsville CCD,S,611480903,3457077,236.094,1.335,34.779169,-86.607582
AL,0108992052,00165867,Madison CCD,S,57904272,162590,22.357,0.063,34.715647,-86.749584
AL,0108992061,00165868,Madison Crossroads CCD,S,167219641,749044,64.564,0.289,34.936374,-86.705577
AL,0108992349,00165869,New Hope CCD,S,286071687,6265780,110.453,2.419,34.559947,-86.439569
AL,0108992358,00165870,New Market CCD,S,391473960,1900425,151.149,0.734,34.873166,-86.394903
AL,0108992695,00165864,Redstone Arsenal CCD,S,156921027,10632594,60.588,4.105,34.632929,-86.655842
AL,0108993176,00165871,Triana CCD,S,76772199,4039852,29.642,1.56,34.615345,-86.757786
AL,0109190873,00165872,Demopolis CCD,S,444562601,7922990,171.647,3.059,32.417456,-87.892213
AL,0109190882,00165873,Dixons Mill CCD,S,286336269,54771,110.555,0.021,32.06208,-87.727735
AL,0109191080,00165874,Faunsdale CCD,S,230169603,569831,88.869,0.22,32.42097,-87.624965
AL,0109191890,00161619,Linden CCD,S,684614508,3497306,264.331,1.35,32.27553,-87.808409
AL,0109193051,00165875,Sweet Water CCD,S,490024563,2519385,189.2,0.973,32.084843,-87.945873
AL,0109193123,00165876,Thomaston CCD,S,394432694,402337,152.291,0.155,32.24778,-87.597839
AL,0109390225,00165877,Bear Creek CCD,S,269312777,1946471,103.982,0.752,34.208108,-87.721786
AL,0109390297,00165878,Bexar CCD,S,272992920,60583,105.403,0.023,34.220341,-88.131214
AL,0109390396,00165879,Brilliant CCD,S,294327931,316290,113.641,0.122,34.058248,-87.722119
AL,0109391449,00165880,Guin CCD,S,149128518,38718,57.579,0.015,33.986702,-87.902127
AL,0109391476,00165881,Hackleburg CCD,S,225864057,260336,87.207,0.101,34.262541,-87.868782
AL,0109391512,00165882,Hamilton CCD,S,556536830,250668,214.88,0.097,34.139455,-87.980816
AL,0109393492,00165883,Winfield CCD,S,154493530,311010,59.65,0.12,33.957753,-87.751825
AL,0109590054,00165884,Albertville-Boaz CCD,S,246193993,737680,95.056,0.285,34.249085,-86.199533
AL,0109590108,00165885,Arab CCD,S,159073885,1152106,61.419,0.445,34.341493,-86.489668
AL,0109590918,00165886,Douglas CCD,S,154077581,482657,59.49,0.186,34.180731,-86.320852
AL,0109591395,00165887,Grant CCD,S,345930592,52382659,133.565,20.225,34.479396,-86.289055
AL,0109591458,00165888,Guntersville CCD,S,174188403,44580145,67.255,17.212,34.309564,-86.321668
AL,0109593150,00165889,Town Creek CCD,S,173734872,37896750,67.079,14.632,34.415163,-86.160396
AL,0109593240,00165890,Union Grove CCD,S,212332534,11263467,81.982,4.349,34.417801,-86.463898
AL,0109790216,00165891,Bayou La Batre CCD,S,215580334,714052672,83.236,275.697,30.319081,-88.209662
AL,0109790594,00165892,Citronelle CCD,S,618232159,3499587,238.701,1.351,31.027126,-88.262107
AL,0109791386,00165893,Grand Bay CCD,S,389534898,91353127,150.4,35.272,30.479144,-88.31554
AL,0109792187,00161620,Mobile CCD,S,915404633,124204328,353.44,47.956,30.791109,-88.101275
AL,0109792304,00165894,Mount Vernon CCD,S,288361995,7036431,111.337,2.717,31.070701,-88.06544
AL,0109792889,00165895,Semmes CCD,S,326298685,10225884,125.985,3.948,30.840391,-88.336442
